Schema,Table
audit,feed25person
audit,feed25personemp
audit,feed25personfil
audit,feed25personposi
audit,feed26aud
audit,feed26clc
audit,feed26clcl
audit,feed26cldef
audit,feed26clissut
audit,feed26clissutaxo
audit,feed26clissutaxog
audit,feed26cnsr
audit,feed26corpposi
audit,feed26lettref
audit,feed26litgov
audit,feed26litlawfirm
audit,feed26person
audit,feed26personemp
audit,feed26personfil
audit,feed26personposi
audit,feed31ashr
audit,feed31ashtr
audit,feed32del
audit,feed34del
audit,feed35del
audit,feed36del
audit,feed37del
audit,feed38del
audit,feed41_transfer_agents
audit,feed49_sedar_audit_fee
audit,feed50_sedar_audit_orig_fee
audit,feed54_sedar_auditor_changes
audit,feed55_auditor_ratification
audit,feed56_acct_estimates_change
audit,feed60_sedar_restatement
audit,feed65_impairments
audit,feed68_sedar_cblock
audit,feed70_europe_cblock
audit,feed71_eu_audit_fee
audit,feed72_eu_audit_opinion
audit,feed73_eu_auditor_engagements
audit,feed75_eu_auditor_change
audit,feed76_eu_transparency_report
audit,feed77_eu_key_audit_matter
audit,feed78_critical_audit_matter
audit,feed79_eu_restatements
audit,formd
audit,formdmro
audit,ipo
audit,names_europe
audit,names_sedar
audit,namesauditorsinfo
audit,namescurrengnpsaud
audit,namesnpsaud
audit,namesprivatefund
audit,namesria
audit,namesriacurreng
audit,npsaud
audit,nt
audit,privatefund
audit,revauditopin
audit,ria
audit,riacurreng
audit,sholderact
audit,taxfootnt
audit_acct_os,auditcblock
audit_acct_os,f56accestchafil
audit_acct_os,f56accesttax
audit_acct_os,f56accesttotax
audit_acct_os,f78feesupcamtop
audit_acct_os,feed55_auditor_ratification
audit_acct_os,feed56_acct_estimates_change
audit_acct_os,feed65_impairments
audit_acct_os,feed78_critical_audit_matter
audit_acct_os_old,auditcblock
audit_acct_os_old,f78feesupcamtop
audit_acct_os_old,feed55_auditor_ratification
audit_acct_os_old,feed56_acct_estimates_change
audit_acct_os_old,feed65_impairments
audit_acct_os_old,feed78_critical_audit_matter
audit_audit_comp,accfiler
audit_audit_comp,auditcblock
audit_audit_comp,auditchange
audit_audit_comp,auditfees
audit_audit_comp,auditfeesr
audit_audit_comp,auditnonreli
audit_audit_comp,auditopin
audit_audit_comp,auditordur
audit_audit_comp,auditors
audit_audit_comp,auditorsinfo
audit_audit_comp,auditsox302
audit_audit_comp,auditsox404
audit_audit_comp,benefit
audit_audit_comp,diroffichange
audit_audit_comp,f01audloc
audit_audit_comp,f05audopitogoiconiss
audit_audit_comp,f05goiconiss
audit_audit_comp,f06forapdiv
audit_audit_comp,f06forapfil
audit_audit_comp,f06forapnotdiv
audit_audit_comp,f34audopitogoiconiss
audit_audit_comp,f34forapdiv
audit_audit_comp,f34forapfil
audit_audit_comp,f34forapnotdiv
audit_audit_comp,f34goiconiss
audit_audit_comp,feed01del
audit_audit_comp,feed02del
audit_audit_comp,feed03del
audit_audit_comp,feed04del
audit_audit_comp,feed05del
audit_audit_comp,feed06del
audit_audit_comp,feed09begend
audit_audit_comp,feed09cat
audit_audit_comp,feed09del
audit_audit_comp,feed09filing
audit_audit_comp,feed09period
audit_audit_comp,feed09tocat
audit_audit_comp,feed10dcqua
audit_audit_comp,feed10dcrea
audit_audit_comp,feed10del
audit_audit_comp,feed10qua
audit_audit_comp,feed10rea
audit_audit_comp,feed11del
audit_audit_comp,feed11opqua
audit_audit_comp,feed11oprea
audit_audit_comp,feed11qua
audit_audit_comp,feed11rea
audit_audit_comp,feed16del
audit_audit_comp,feed17change
audit_audit_comp,feed17del
audit_audit_comp,feed20del
audit_audit_comp,feed20notification
audit_audit_comp,feed20reason
audit_audit_comp,feed34del
audit_audit_comp,feed37del
audit_audit_comp,feed38del
audit_audit_comp,namesauditorsinfo
audit_audit_comp,nt
audit_audit_comp,revauditopin
audit_audit_comp_old,accfiler
audit_audit_comp_old,auditcblock
audit_audit_comp_old,auditchange
audit_audit_comp_old,auditfees
audit_audit_comp_old,auditfeesr
audit_audit_comp_old,auditnonreli
audit_audit_comp_old,auditopin
audit_audit_comp_old,auditordur
audit_audit_comp_old,auditors
audit_audit_comp_old,auditorsinfo
audit_audit_comp_old,auditsox302
audit_audit_comp_old,auditsox404
audit_audit_comp_old,benefit
audit_audit_comp_old,diroffichange
audit_audit_comp_old,f01audloc
audit_audit_comp_old,f05audopitogoiconiss
audit_audit_comp_old,f05goiconiss
audit_audit_comp_old,f06forapdiv
audit_audit_comp_old,f06forapfil
audit_audit_comp_old,f06forapnotdiv
audit_audit_comp_old,f34audopitogoiconiss
audit_audit_comp_old,f34forapdiv
audit_audit_comp_old,f34forapfil
audit_audit_comp_old,f34forapnotdiv
audit_audit_comp_old,f34goiconiss
audit_audit_comp_old,feed01del
audit_audit_comp_old,feed02del
audit_audit_comp_old,feed03del
audit_audit_comp_old,feed04del
audit_audit_comp_old,feed05del
audit_audit_comp_old,feed06del
audit_audit_comp_old,feed09begend
audit_audit_comp_old,feed09cat
audit_audit_comp_old,feed09del
audit_audit_comp_old,feed09filing
audit_audit_comp_old,feed09period
audit_audit_comp_old,feed09tocat
audit_audit_comp_old,feed10dcqua
audit_audit_comp_old,feed10dcrea
audit_audit_comp_old,feed10del
audit_audit_comp_old,feed10qua
audit_audit_comp_old,feed10rea
audit_audit_comp_old,feed11del
audit_audit_comp_old,feed11opqua
audit_audit_comp_old,feed11oprea
audit_audit_comp_old,feed11qua
audit_audit_comp_old,feed11rea
audit_audit_comp_old,feed16del
audit_audit_comp_old,feed17change
audit_audit_comp_old,feed17del
audit_audit_comp_old,feed20del
audit_audit_comp_old,feed20notification
audit_audit_comp_old,feed20reason
audit_audit_comp_old,feed34del
audit_audit_comp_old,feed37del
audit_audit_comp_old,feed38del
audit_audit_comp_old,namesauditorsinfo
audit_audit_comp_old,nt
audit_audit_comp_old,revauditopin
audit_corp_legal,auditcblock
audit_corp_legal,auditlegal
audit_corp_legal,bankrupt
audit_corp_legal,commlett
audit_corp_legal,commlettconv
audit_corp_legal,commlettthreads
audit_corp_legal,f18meracq
audit_corp_legal,f18meracqfil
audit_corp_legal,f18meracqtratyp
audit_corp_legal,f37fordent
audit_corp_legal,f37fordper
audit_corp_legal,f37fordrec
audit_corp_legal,f37fordsig
audit_corp_legal,f38fordent
audit_corp_legal,f38fordper
audit_corp_legal,f38fordrec
audit_corp_legal,f38fordsig
audit_corp_legal,f40comrespaitocomthr
audit_corp_legal,feed13
audit_corp_legal,feed13b
audit_corp_legal,feed13case
audit_corp_legal,feed13cat
audit_corp_legal,feed13del
audit_corp_legal,feed13web
audit_corp_legal,feed14
audit_corp_legal,feed14b
audit_corp_legal,feed14case
audit_corp_legal,feed14del
audit_corp_legal,feed14gov
audit_corp_legal,feed14law
audit_corp_legal,feed14party
audit_corp_legal,feed14ptof
audit_corp_legal,feed18_merger_acquisition
audit_corp_legal,feed18del
audit_corp_legal,feed19del
audit_corp_legal,feed21del
audit_corp_legal,feed25aud
audit_corp_legal,feed25clc
audit_corp_legal,feed25clcl
audit_corp_legal,feed25cldef
audit_corp_legal,feed25clfc
audit_corp_legal,feed25clissut
audit_corp_legal,feed25clissutaxo
audit_corp_legal,feed25clissutaxog
audit_corp_legal,feed25clrft
audit_corp_legal,feed25clrit
audit_corp_legal,feed25cnsr
audit_corp_legal,feed25corpposi
audit_corp_legal,feed25lettref
audit_corp_legal,feed25litgov
audit_corp_legal,feed25litlawfirm
audit_corp_legal,feed25person
audit_corp_legal,feed25personemp
audit_corp_legal,feed25personfil
audit_corp_legal,feed25personposi
audit_corp_legal,feed26aud
audit_corp_legal,feed26clc
audit_corp_legal,feed26clcl
audit_corp_legal,feed26cldef
audit_corp_legal,feed26clissut
audit_corp_legal,feed26clissutaxo
audit_corp_legal,feed26clissutaxog
audit_corp_legal,feed26cnsr
audit_corp_legal,feed26corpposi
audit_corp_legal,feed26lettref
audit_corp_legal,feed26litgov
audit_corp_legal,feed26litlawfirm
audit_corp_legal,feed26person
audit_corp_legal,feed26personemp
audit_corp_legal,feed26personfil
audit_corp_legal,feed26personposi
audit_corp_legal,feed31ashr
audit_corp_legal,feed31ashtr
audit_corp_legal,feed32del
audit_corp_legal,feed41_transfer_agents
audit_corp_legal,formd
audit_corp_legal,formdmro
audit_corp_legal,ipo
audit_corp_legal,sholderact
audit_corp_legal,taxfootnt
audit_corp_legal_old,auditcblock
audit_corp_legal_old,auditlegal
audit_corp_legal_old,bankrupt
audit_corp_legal_old,commlett
audit_corp_legal_old,commlettconv
audit_corp_legal_old,commlettthreads
audit_corp_legal_old,f18meracq
audit_corp_legal_old,f18meracqfil
audit_corp_legal_old,f18meracqtratyp
audit_corp_legal_old,f37fordent
audit_corp_legal_old,f37fordper
audit_corp_legal_old,f37fordrec
audit_corp_legal_old,f37fordsig
audit_corp_legal_old,f38fordent
audit_corp_legal_old,f38fordper
audit_corp_legal_old,f38fordrec
audit_corp_legal_old,f38fordsig
audit_corp_legal_old,f40comrespaitocomthr
audit_corp_legal_old,feed13
audit_corp_legal_old,feed13b
audit_corp_legal_old,feed13case
audit_corp_legal_old,feed13cat
audit_corp_legal_old,feed13del
audit_corp_legal_old,feed13web
audit_corp_legal_old,feed14
audit_corp_legal_old,feed14b
audit_corp_legal_old,feed14case
audit_corp_legal_old,feed14del
audit_corp_legal_old,feed14gov
audit_corp_legal_old,feed14law
audit_corp_legal_old,feed14party
audit_corp_legal_old,feed14ptof
audit_corp_legal_old,feed18_merger_acquisition
audit_corp_legal_old,feed18del
audit_corp_legal_old,feed19del
audit_corp_legal_old,feed21del
audit_corp_legal_old,feed25aud
audit_corp_legal_old,feed25clc
audit_corp_legal_old,feed25clcl
audit_corp_legal_old,feed25cldef
audit_corp_legal_old,feed25clfc
audit_corp_legal_old,feed25clissut
audit_corp_legal_old,feed25clissutaxo
audit_corp_legal_old,feed25clissutaxog
audit_corp_legal_old,feed25clrft
audit_corp_legal_old,feed25clrit
audit_corp_legal_old,feed25cnsr
audit_corp_legal_old,feed25corpposi
audit_corp_legal_old,feed25lettref
audit_corp_legal_old,feed25litgov
audit_corp_legal_old,feed25litlawfirm
audit_corp_legal_old,feed25person
audit_corp_legal_old,feed25personemp
audit_corp_legal_old,feed25personfil
audit_corp_legal_old,feed25personposi
audit_corp_legal_old,feed26aud
audit_corp_legal_old,feed26clc
audit_corp_legal_old,feed26clcl
audit_corp_legal_old,feed26cldef
audit_corp_legal_old,feed26clissut
audit_corp_legal_old,feed26clissutaxo
audit_corp_legal_old,feed26clissutaxog
audit_corp_legal_old,feed26cnsr
audit_corp_legal_old,feed26corpposi
audit_corp_legal_old,feed26lettref
audit_corp_legal_old,feed26litgov
audit_corp_legal_old,feed26litlawfirm
audit_corp_legal_old,feed26person
audit_corp_legal_old,feed26personemp
audit_corp_legal_old,feed26personfil
audit_corp_legal_old,feed26personposi
audit_corp_legal_old,feed31ashr
audit_corp_legal_old,feed31ashtr
audit_corp_legal_old,feed32del
audit_corp_legal_old,feed41_transfer_agents
audit_corp_legal_old,formd
audit_corp_legal_old,formdmro
audit_corp_legal_old,ipo
audit_corp_legal_old,sholderact
audit_corp_legal_old,taxfootnt
audit_europe,f72intaudopiaud
audit_europe,f72intaudopipar
audit_europe,f79intresfil
audit_europe,f79intresisstax
audit_europe,f79intresisstocat
audit_europe,f79intrestoiss
audit_europe,f79intrestyp
audit_europe,feed70_europe_cblock
audit_europe,feed71_eu_audit_fee
audit_europe,feed72_eu_audit_opinion
audit_europe,feed73_eu_auditor_engagements
audit_europe,feed75_eu_auditor_change
audit_europe,feed76_eu_transparency_report
audit_europe,feed77_eu_key_audit_matter
audit_europe,feed79_eu_restatements
audit_europe,names_europe
audit_europe_old,f72intaudopiaud
audit_europe_old,f72intaudopipar
audit_europe_old,feed70_europe_cblock
audit_europe_old,feed71_eu_audit_fee
audit_europe_old,feed72_eu_audit_opinion
audit_europe_old,feed73_eu_auditor_engagements
audit_europe_old,feed75_eu_auditor_change
audit_europe_old,feed76_eu_transparency_report
audit_europe_old,feed77_eu_key_audit_matter
audit_europe_old,names_europe
audit_oia,auditcblock
audit_oia,bdfrep
audit_oia,currengbdfrep
audit_oia,currengnpsaud
audit_oia,f27aud
audit_oia,f27corpos
audit_oia,f27docdet
audit_oia,f27docdetfil
audit_oia,f27per
audit_oia,f27perfil
audit_oia,f27perpos
audit_oia,f27secloc
audit_oia,f28aud
audit_oia,f28foucod
audit_oia,f28ntecod
audit_oia,f28ntecomcod
audit_oia,f28subclacod
audit_oia,f29aud
audit_oia,f29corpos
audit_oia,f29docdet
audit_oia,f29docdetfil
audit_oia,f29per
audit_oia,f29perfil
audit_oia,f29perpos
audit_oia,f29secloc
audit_oia,f30aud
audit_oia,f30foucod
audit_oia,f30ntecod
audit_oia,f30ntecomcod
audit_oia,f30subclacod
audit_oia,f35riaadvsadirown
audit_oia,f35riaadvsbindown
audit_oia,f35riaadvsd10conper
audit_oia,f35riaadvsd1bothnam
audit_oia,f35riaadvsd1fothoff
audit_oia,f35riaadvsd1iwwwadd
audit_oia,f35riaadvsd1kboorec
audit_oia,f35riaadvsd1lforreg
audit_oia,f35riaadvsd2a1secexeord
audit_oia,f35riaadvsd2a7affadv
audit_oia,f35riaadvsd2a8newforadv
audit_oia,f35riaadvsd2a9muladv
audit_oia,f35riaadvsd4suc
audit_oia,f35riaadvsd7aaffadvdea
audit_oia,f35riaadvsd7blimpar
audit_oia,f35riaadvsd9cacc
audit_oia,f35riaadvsdmis
audit_oia,f35riaforurltoliv
audit_oia,f35riasd5g3pubfun
audit_oia,f35riasd7badm
audit_oia,f35riasd7baud
audit_oia,f35riasd7bcus
audit_oia,f35riasd7bfeefun
audit_oia,f35riasd7bmar
audit_oia,f35riasd7bpribro
audit_oia,f35riasd7bprifun
audit_oia,f35riasd9acctoaud
audit_oia,f36riaadvsadirown
audit_oia,f36riaadvsbindown
audit_oia,f36riaadvsd10conper
audit_oia,f36riaadvsd1bothnam
audit_oia,f36riaadvsd1fothoff
audit_oia,f36riaadvsd1iwwwadd
audit_oia,f36riaadvsd1kboorec
audit_oia,f36riaadvsd1lforreg
audit_oia,f36riaadvsd2a1secexeord
audit_oia,f36riaadvsd2a7affadv
audit_oia,f36riaadvsd2a8newforadv
audit_oia,f36riaadvsd2a9muladv
audit_oia,f36riaadvsd4suc
audit_oia,f36riaadvsd7aaffadvdea
audit_oia,f36riaadvsd7blimpar
audit_oia,f36riaadvsd9cacc
audit_oia,f36riaadvsdmis
audit_oia,f36riaforurltoliv
audit_oia,f36riasd5g3pubfun
audit_oia,f36riasd7badm
audit_oia,f36riasd7baud
audit_oia,f36riasd7bcus
audit_oia,f36riasd7bfeefun
audit_oia,f36riasd7bmar
audit_oia,f36riasd7bpribro
audit_oia,f36riasd7bprifun
audit_oia,f36riasd9acctoaud
audit_oia,f43adm
audit_oia,f43bro
audit_oia,f43funtoaud
audit_oia,feed35del
audit_oia,feed36del
audit_oia,namescurrengnpsaud
audit_oia,namesnpsaud
audit_oia,namesprivatefund
audit_oia,namesria
audit_oia,namesriacurreng
audit_oia,npsaud
audit_oia,privatefund
audit_oia,ria
audit_oia,riacurreng
audit_oia_old,auditcblock
audit_oia_old,bdfrep
audit_oia_old,currengbdfrep
audit_oia_old,currengnpsaud
audit_oia_old,f27aud
audit_oia_old,f27corpos
audit_oia_old,f27docdet
audit_oia_old,f27docdetfil
audit_oia_old,f27per
audit_oia_old,f27perfil
audit_oia_old,f27perpos
audit_oia_old,f27secloc
audit_oia_old,f28aud
audit_oia_old,f28foucod
audit_oia_old,f28ntecod
audit_oia_old,f28ntecomcod
audit_oia_old,f28subclacod
audit_oia_old,f29aud
audit_oia_old,f29corpos
audit_oia_old,f29docdet
audit_oia_old,f29docdetfil
audit_oia_old,f29per
audit_oia_old,f29perfil
audit_oia_old,f29perpos
audit_oia_old,f29secloc
audit_oia_old,f30aud
audit_oia_old,f30foucod
audit_oia_old,f30ntecod
audit_oia_old,f30ntecomcod
audit_oia_old,f30subclacod
audit_oia_old,f35riaadvsadirown
audit_oia_old,f35riaadvsbindown
audit_oia_old,f35riaadvsd10conper
audit_oia_old,f35riaadvsd1bothnam
audit_oia_old,f35riaadvsd1fothoff
audit_oia_old,f35riaadvsd1iwwwadd
audit_oia_old,f35riaadvsd1kboorec
audit_oia_old,f35riaadvsd1lforreg
audit_oia_old,f35riaadvsd2a1secexeord
audit_oia_old,f35riaadvsd2a7affadv
audit_oia_old,f35riaadvsd2a8newforadv
audit_oia_old,f35riaadvsd2a9muladv
audit_oia_old,f35riaadvsd4suc
audit_oia_old,f35riaadvsd7aaffadvdea
audit_oia_old,f35riaadvsd7blimpar
audit_oia_old,f35riaadvsd9cacc
audit_oia_old,f35riaadvsdmis
audit_oia_old,f35riaforurltoliv
audit_oia_old,f35riasd5g3pubfun
audit_oia_old,f35riasd7badm
audit_oia_old,f35riasd7baud
audit_oia_old,f35riasd7bcus
audit_oia_old,f35riasd7bfeefun
audit_oia_old,f35riasd7bmar
audit_oia_old,f35riasd7bpribro
audit_oia_old,f35riasd7bprifun
audit_oia_old,f35riasd9acctoaud
audit_oia_old,f36riaadvsadirown
audit_oia_old,f36riaadvsbindown
audit_oia_old,f36riaadvsd10conper
audit_oia_old,f36riaadvsd1bothnam
audit_oia_old,f36riaadvsd1fothoff
audit_oia_old,f36riaadvsd1iwwwadd
audit_oia_old,f36riaadvsd1kboorec
audit_oia_old,f36riaadvsd1lforreg
audit_oia_old,f36riaadvsd2a1secexeord
audit_oia_old,f36riaadvsd2a7affadv
audit_oia_old,f36riaadvsd2a8newforadv
audit_oia_old,f36riaadvsd2a9muladv
audit_oia_old,f36riaadvsd4suc
audit_oia_old,f36riaadvsd7aaffadvdea
audit_oia_old,f36riaadvsd7blimpar
audit_oia_old,f36riaadvsd9cacc
audit_oia_old,f36riaadvsdmis
audit_oia_old,f36riaforurltoliv
audit_oia_old,f36riasd5g3pubfun
audit_oia_old,f36riasd7badm
audit_oia_old,f36riasd7baud
audit_oia_old,f36riasd7bcus
audit_oia_old,f36riasd7bfeefun
audit_oia_old,f36riasd7bmar
audit_oia_old,f36riasd7bpribro
audit_oia_old,f36riasd7bprifun
audit_oia_old,f36riasd9acctoaud
audit_oia_old,f43adm
audit_oia_old,f43bro
audit_oia_old,f43funtoaud
audit_oia_old,feed35del
audit_oia_old,feed36del
audit_oia_old,namescurrengnpsaud
audit_oia_old,namesnpsaud
audit_oia_old,namesprivatefund
audit_oia_old,namesria
audit_oia_old,namesriacurreng
audit_oia_old,npsaud
audit_oia_old,privatefund
audit_oia_old,ria
audit_oia_old,riacurreng
audit_sedar,f54sedaudchaiss
audit_sedar,f54sedaudchasub
audit_sedar,f54sedaudchasubfil
audit_sedar,f54sedaudchatax
audit_sedar,f60aud
audit_sedar,f60audaff
audit_sedar,f60sedaudopi
audit_sedar,feed49_sedar_audit_fee
audit_sedar,feed50_sedar_audit_orig_fee
audit_sedar,feed54_sedar_auditor_changes
audit_sedar,feed60_sedar_restatement
audit_sedar,feed68_sedar_cblock
audit_sedar,names_sedar
audit_sedar_old,f54sedaudchaiss
audit_sedar_old,f54sedaudchasub
audit_sedar_old,f54sedaudchasubfil
audit_sedar_old,f54sedaudchatax
audit_sedar_old,f60aud
audit_sedar_old,f60audaff
audit_sedar_old,f60sedaudopi
audit_sedar_old,feed49_sedar_audit_fee
audit_sedar_old,feed50_sedar_audit_orig_fee
audit_sedar_old,feed54_sedar_auditor_changes
audit_sedar_old,feed60_sedar_restatement
audit_sedar_old,feed68_sedar_cblock
audit_sedar_old,names_sedar
auditsmp_all,accfiler
auditsmp_all,auditcblock
auditsmp_all,auditchange
auditsmp_all,auditfees
auditsmp_all,auditfeesr
auditsmp_all,auditnonreli
auditsmp_all,auditopin
auditsmp_all,auditors
auditsmp_all,auditorsinfo
auditsmp_all,auditsox302
auditsmp_all,auditsox404
auditsmp_all,benefit
auditsmp_all,diroffichange
auditsmp_all,nt
auditsmp_all,revauditopin
auditsmp_all_new,
auditsmp_all_old,
bank,
blab,accounts
blab,questions
blab,survey_community
blab,survey_customers
blab,survey_environment
blab,survey_governance
blab,survey_multipick
blab,survey_nonmultipick
blab,survey_workers
blab_bia,accounts
blab_bia,survey_multipick
blab_bia,survey_nonmultipick
blab_bia_old,questions
blab_bia_old,survey_community
blab_bia_old,survey_customers
blab_bia_old,survey_environment
blab_bia_old,survey_governance
blab_bia_old,survey_workers
block,block
block,block2
block,blockw
block_all,block
block_all,block2
block_all,blockw
block_all_old,block
block_all_old,block2
block_all_old,blockw
boardex,chars
boardex,eur_board_characteristics
boardex,eur_board_dir_announcements
boardex,eur_board_dir_committees
boardex,eur_board_education_assoc
boardex,eur_board_listed_assoc
boardex,eur_board_nfp_assoc
boardex,eur_board_other_assoc
boardex,eur_board_unlisted_assoc
boardex,eur_company_profile_advisors
boardex,eur_company_profile_details
boardex,eur_company_profile_market_cap
boardex,eur_company_profile_sr_mgrs
boardex,eur_company_profile_stocks
boardex,eur_dir_characteristics
boardex,eur_dir_education_assoc
boardex,eur_dir_listed_assoc
boardex,eur_dir_nfp_assoc
boardex,eur_dir_other_assoc
boardex,eur_dir_profile_achievements
boardex,eur_dir_profile_details
boardex,eur_dir_profile_education
boardex,eur_dir_profile_emp
boardex,eur_dir_profile_other_activ
boardex,eur_dir_standard_remun
boardex,eur_dir_unlisted_assoc
boardex,eur_ltip_compensation
boardex,eur_ltip_wealth
boardex,eur_options_compensation
boardex,eur_options_wealth
boardex,eur_wrds_board_char_overall
boardex,eur_wrds_company_dir_names
boardex,eur_wrds_company_director_names
